epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,812.125,0.9482,0.96985,1.0208,0.42401,0.84717,0.48458,0.35466,0.96339,1.34349,1.01662,0.000990365,0.000990365,0.000990365
43,831.148,0.96971,0.96853,1.02249,0.41468,0.7854,0.42819,0.30135,1.08258,1.75865,1.09851,0.000973861,0.000973861,0.000973861
44,849.436,0.9356,0.94219,1.00624,0.44369,0.85156,0.43564,0.30851,0.97049,1.39707,1.03776,0.000957358,0.000957358,0.000957358
45,868.503,0.89636,0.90868,0.99517,0.41642,0.82091,0.4317,0.29912,0.99877,1.48469,1.05021,0.000940855,0.000940855,0.000940855
46,886.955,0.91866,0.92774,1.00837,0.40904,0.80187,0.43128,0.30307,0.97093,1.2868,1.02782,0.000924352,0.000924352,0.000924352
47,905.428,0.8905,0.88951,0.99092,0.42434,0.83094,0.46983,0.33779,0.97879,1.28241,1.02068,0.000907848,0.000907848,0.000907848
48,924.502,0.88377,0.87448,0.99236,0.40857,0.84743,0.42135,0.30214,0.97113,1.556,1.03072,0.000891345,0.000891345,0.000891345
49,942.623,0.8938,0.88154,0.98268,0.40876,0.76743,0.43336,0.30802,0.99424,1.36368,1.03694,0.000874842,0.000874842,0.000874842
50,963.373,0.91341,0.89239,0.98829,0.44192,0.85575,0.4751,0.35107,0.9248,1.2791,1.01944,0.000858338,0.000858338,0.000858338
51,981.618,0.88969,0.87159,0.98901,0.41683,0.75748,0.46721,0.34608,1.00526,1.81994,1.05055,0.000841835,0.000841835,0.000841835
52,1001.06,0.89785,0.8495,0.99295,0.39971,0.76246,0.44457,0.31676,0.99087,1.61469,1.02641,0.000825332,0.000825332,0.000825332
53,1020.31,0.90047,0.88768,0.99221,0.39411,0.80826,0.4169,0.28197,1.00321,1.77487,1.04789,0.000808828,0.000808828,0.000808828
54,1040.15,0.85923,0.84496,0.96453,0.44123,0.76265,0.50419,0.37812,0.9627,1.19591,1.01457,0.000792325,0.000792325,0.000792325
55,1058.97,0.88011,0.86441,0.99119,0.43146,0.80366,0.44381,0.31755,0.97751,1.53981,1.04544,0.000775822,0.000775822,0.000775822
56,1078.97,0.86881,0.83138,0.98313,0.4024,0.78844,0.45434,0.32777,0.99987,1.59545,1.05476,0.000759318,0.000759318,0.000759318
57,1097.44,0.84631,0.81517,0.97912,0.38883,0.78743,0.45692,0.33391,0.96265,1.366,1.02059,0.000742815,0.000742815,0.000742815
58,1116.66,0.85753,0.82914,0.9798,0.42252,0.85557,0.45699,0.33352,0.94918,1.36808,1.0024,0.000726312,0.000726312,0.000726312
59,1135.26,0.86381,0.80898,0.99014,0.40744,0.80191,0.44181,0.32925,0.95724,1.46888,1.00849,0.000709809,0.000709809,0.000709809
60,1153.85,0.84977,0.78234,0.96718,0.37983,0.80318,0.41331,0.29358,0.95955,1.86104,1.01023,0.000693305,0.000693305,0.000693305
61,1172.95,0.86352,0.80748,0.98195,0.43153,0.8416,0.44061,0.3271,0.9356,1.36599,1.01962,0.000676802,0.000676802,0.000676802
62,1191.22,0.84961,0.78474,0.97509,0.41413,0.83973,0.43001,0.31703,0.98676,1.5741,1.04748,0.000660299,0.000660299,0.000660299
63,1210.55,0.87484,0.7995,0.99425,0.41279,0.81076,0.44426,0.32835,0.95985,1.55218,1.02581,0.000643795,0.000643795,0.000643795
64,1228.95,0.86262,0.7645,0.97488,0.42726,0.77041,0.45239,0.33393,0.96292,1.4309,1.01773,0.000627292,0.000627292,0.000627292
65,1249.6,0.84164,0.78111,0.96762,0.39915,0.81835,0.46242,0.32909,1.00608,1.52047,1.06554,0.000610789,0.000610789,0.000610789
66,1268.13,0.84738,0.77115,0.97657,0.46069,0.79977,0.52541,0.38412,0.9636,1.22913,1.02812,0.000594286,0.000594286,0.000594286
67,1287.6,0.82459,0.76342,0.97621,0.40954,0.82074,0.50353,0.37094,0.98666,1.52751,1.04321,0.000577782,0.000577782,0.000577782
68,1306.11,0.84288,0.73539,0.96822,0.42443,0.78116,0.46291,0.33232,1.02647,1.49315,1.06177,0.000561279,0.000561279,0.000561279
69,1325.59,0.82622,0.73204,0.96935,0.44629,0.7522,0.49385,0.36395,0.96158,1.4811,1.03743,0.000544776,0.000544776,0.000544776
70,1344.11,0.82449,0.73796,0.95508,0.44644,0.81966,0.49185,0.36546,0.94376,1.30509,1.00712,0.000528272,0.000528272,0.000528272
71,1363.41,0.81476,0.68175,0.96838,0.39308,0.74576,0.43442,0.31798,0.98536,1.84892,1.05967,0.000511769,0.000511769,0.000511769
72,1382.03,0.80484,0.69024,0.9498,0.42481,0.83493,0.49086,0.35875,0.97948,1.46311,1.04513,0.000495266,0.000495266,0.000495266
73,1400.77,0.8045,0.70232,0.96962,0.42063,0.79217,0.43888,0.32293,0.97782,1.69683,1.05676,0.000478762,0.000478762,0.000478762
74,1419.83,0.80002,0.69748,0.95202,0.3992,0.79993,0.45123,0.33147,0.94882,1.75503,1.02636,0.000462259,0.000462259,0.000462259
75,1438.31,0.83266,0.70746,0.96815,0.41334,0.78409,0.4278,0.31536,0.98092,1.54514,1.05003,0.000445756,0.000445756,0.000445756
76,1457.55,0.79392,0.7008,0.95185,0.43244,0.77472,0.45977,0.34299,0.94324,1.42755,1.02301,0.000429253,0.000429253,0.000429253
77,1476.1,0.79571,0.67627,0.94243,0.41552,0.80516,0.48249,0.35925,0.94384,1.54308,1.00459,0.000412749,0.000412749,0.000412749
78,1495.74,0.79219,0.66327,0.94803,0.41027,0.83372,0.43996,0.32323,0.96585,1.56388,1.0362,0.000396246,0.000396246,0.000396246
79,1515.54,0.79321,0.62917,0.95274,0.43448,0.76919,0.49752,0.37191,0.96003,1.5092,1.04178,0.000379743,0.000379743,0.000379743
80,1536.55,0.79899,0.64995,0.95602,0.39186,0.75875,0.44209,0.32066,0.99578,1.75262,1.05655,0.000363239,0.000363239,0.000363239
81,1557.67,0.76778,0.62066,0.94579,0.41575,0.78454,0.46742,0.33191,0.98767,1.68533,1.05537,0.000346736,0.000346736,0.000346736
82,1576.58,0.79229,0.65087,0.94148,0.43234,0.72694,0.46776,0.34991,0.96624,1.41432,1.02927,0.000330233,0.000330233,0.000330233
83,1595.46,0.79582,0.62209,0.95135,0.43274,0.76146,0.469,0.35513,0.96603,1.76585,1.03831,0.000313729,0.000313729,0.000313729
84,1614.58,0.75175,0.6135,0.92986,0.41072,0.7229,0.43729,0.32614,0.9694,1.60461,1.05265,0.000297226,0.000297226,0.000297226
85,1633.02,0.77427,0.61191,0.94363,0.44562,0.77392,0.49839,0.3774,0.95645,1.45708,1.04144,0.000280723,0.000280723,0.000280723
86,1652.89,0.75844,0.60134,0.94661,0.42692,0.77019,0.47519,0.35422,0.95336,1.68721,1.03967,0.00026422,0.00026422,0.00026422
87,1671.79,0.72383,0.60025,0.92131,0.42547,0.78094,0.48576,0.35715,0.96591,1.66707,1.04351,0.000247716,0.000247716,0.000247716
88,1691.95,0.75423,0.59361,0.93159,0.42247,0.782,0.46881,0.34508,0.94225,1.62651,1.02313,0.000231213,0.000231213,0.000231213
89,1710.75,0.74243,0.5536,0.93124,0.41521,0.77892,0.47789,0.35311,0.96806,1.65056,1.0371,0.00021471,0.00021471,0.00021471
90,1730.25,0.75446,0.58549,0.93699,0.41363,0.76892,0.46784,0.34431,0.96513,1.7119,1.04453,0.000198206,0.000198206,0.000198206
91,1750.04,0.71533,0.52155,0.92158,0.39164,0.7392,0.44019,0.32965,0.95533,1.73591,1.0425,0.000181703,0.000181703,0.000181703
92,1770.72,0.69304,0.49418,0.90889,0.41,0.78953,0.45695,0.33236,0.98871,1.6641,1.04745,0.0001652,0.0001652,0.0001652
93,1788.69,0.67422,0.46993,0.89601,0.41873,0.75564,0.46288,0.34404,0.97149,1.75299,1.04667,0.000148696,0.000148696,0.000148696
94,1807.74,0.66766,0.47647,0.90493,0.40057,0.7407,0.46653,0.3437,0.97809,1.75561,1.04903,0.000132193,0.000132193,0.000132193
95,1825.78,0.6751,0.45803,0.89617,0.41328,0.74645,0.48307,0.35603,0.96035,1.74002,1.03705,0.00011569,0.00011569,0.00011569
96,1844.11,0.66418,0.45575,0.89281,0.41557,0.77073,0.47574,0.35317,0.95736,1.67803,1.03683,9.91865e-05,9.91865e-05,9.91865e-05
97,1862.62,0.66125,0.44291,0.90026,0.41101,0.74821,0.46865,0.34665,0.98128,1.82924,1.05505,8.26832e-05,8.26832e-05,8.26832e-05
98,1880.56,0.65436,0.44687,0.90133,0.41691,0.73587,0.47075,0.35307,0.97058,1.78604,1.04908,6.61799e-05,6.61799e-05,6.61799e-05
99,1899.72,0.65182,0.43242,0.89509,0.41311,0.74812,0.4773,0.35436,0.96438,1.73659,1.04238,4.96766e-05,4.96766e-05,4.96766e-05
100,1917.68,0.64849,0.42884,0.8849,0.42617,0.76346,0.48613,0.36078,0.96785,1.70538,1.0445,3.31733e-05,3.31733e-05,3.31733e-05
